,sample,collection_date,county,lineage
243,USA/CA-CZB-1428/2020,2020-03-23 00:00:00,San Luis Obispo County,B.1.320
244,USA/CA-CZB-1430/2020,2020-03-23 00:00:00,San Luis Obispo County,A.1
245,USA/CA-CZB-1431/2020,2020-03-24 00:00:00,San Luis Obispo County,B.1.110
246,USA/CA-CZB-1432/2020,2020-03-23 00:00:00,San Luis Obispo County,B.1
247,USA/CA-CZB-1433/2020,2020-03-24 00:00:00,San Luis Obispo County,B.1.1.70
248,USA/CA-CZB-1434/2020,2020-03-25 00:00:00,San Luis Obispo County,B.1
249,USA/CA-CZB-1435/2020,2020-03-25 00:00:00,San Luis Obispo County,B.1.320
250,USA/CA-CZB-1436/2020,2020-03-25 00:00:00,San Luis Obispo County,B.1
251,USA/CA-CZB-1437/2020,2020-03-26 00:00:00,San Luis Obispo County,B.1
252,USA/CA-CZB-1439/2020,2020-03-27 00:00:00,San Luis Obispo County,B.1.320
253,USA/CA-CZB-12370/2020,2020-05-14 00:00:00,Tulare County,B.1
254,USA/CA-CZB-12370/2020,2020-05-14 00:00:00,Tulare County,B.1
255,USA/CA-CZB-12370/2020,2020-05-14 00:00:00,Tulare County,B.1
256,USA/CA-CZB-12371/2020,2020-05-14 00:00:00,Tulare County,B.1
257,USA/CA-CZB-12372/2020,2020-05-14 00:00:00,Tulare County,B.1
258,USA/CA-CZB-12372/2020,2020-05-14 00:00:00,Tulare County,B.1
259,USA/CA-CZB-12372/2020,2020-05-14 00:00:00,Tulare County,B.1
260,USA/CA-CZB-12373/2020,2020-05-14 00:00:00,Tulare County,B.1
261,USA/CA-CZB-1440/2020,2020-03-27 00:00:00,San Luis Obispo County,B.1.1.70
262,USA/CA-CZB-1442/2020,2020-03-28 00:00:00,San Luis Obispo County,B.1.320
263,USA/CA-CZB-1575/2020,2020-03-11 00:00:00,San Joaquin County,A.1
264,USA/CA-CZB-1443/2020,2020-03-28 00:00:00,San Luis Obispo County,B.1.1.113
265,USA/CA-CZB-1445/2020,2020-03-30 00:00:00,San Luis Obispo County,B.1.1.113
266,USA/CA-CZB-1446/2020,2020-03-30 00:00:00,San Luis Obispo County,B.1.320
267,USA/CA-CZB-12375/2020,2020-05-26 00:00:00,Tulare County,B.1
268,USA/CA-CZB-12374/2020,2020-05-26 00:00:00,Tulare County,B.1
269,USA/CA-CZB-1447/2020,2020-03-30 00:00:00,San Luis Obispo County,B.1
270,USA/CA-CZB-1576/2020,2020-03-13 00:00:00,San Joaquin County,A.1
271,USA/CA-CZB-1450/2020,2020-04-03 00:00:00,San Luis Obispo County,B.1.320
272,USA/CA-CZB-1577/2020,2020-03-14 00:00:00,San Joaquin County,A.1
273,USA/CA-CZB-1452/2020,2020-04-07 00:00:00,San Luis Obispo County,B.1.320
274,USA/CA-CZB-1455/2020,2020-04-10 00:00:00,San Luis Obispo County,B.1.320
275,USA/CA-CZB-1456/2020,2020-04-11 00:00:00,San Luis Obispo County,B.1
276,USA/CA-CZB-1457/2020,2020-04-11 00:00:00,San Luis Obispo County,B.1.166
277,USA/CA-CZB-1578/2020,2020-03-18 00:00:00,San Joaquin County,A.1
278,USA/CA-CZB-1579/2020,2020-03-18 00:00:00,San Joaquin County,B.1.110
279,USA/CA-CZB-1580/2020,2020-03-18 00:00:00,San Joaquin County,B
280,USA/CA-CZB-1581/2020,2020-03-21 00:00:00,San Joaquin County,A.1
281,USA/CA-CZB-1582/2020,2020-03-21 00:00:00,San Joaquin County,A.1
282,USA/CA-CZB-1584/2020,2020-03-22 00:00:00,San Joaquin County,A.1
283,USA/CA-CZB-1583/2020,2020-03-21 00:00:00,San Joaquin County,B
284,USA/CA-CZB-1585/2020,2020-03-22 00:00:00,San Joaquin County,A.1
285,USA/CA-CZB-1458/2020,2020-04-19 00:00:00,San Luis Obispo County,B.1.369
286,USA/CA-CZB-1459/2020,2020-04-19 00:00:00,San Luis Obispo County,B.1.166
287,USA/CA-CZB-1586/2020,2020-03-23 00:00:00,San Joaquin County,A.1
288,USA/CA-CZB-1587/2020,2020-03-24 00:00:00,San Joaquin County,A.2.2
289,USA/CA-CZB-1588/2020,2020-03-24 00:00:00,San Joaquin County,A.2.2
290,USA/CA-CZB-1589/2020,2020-03-24 00:00:00,San Joaquin County,B.1.334
291,USA/CA-CZB-1460/2020,2020-04-23 00:00:00,San Luis Obispo County,B.1.320
292,USA/CA-CZB-1461/2020,2020-04-23 00:00:00,San Luis Obispo County,B.1.320
293,USA/CA-CZB-1463/2020,2020-04-23 00:00:00,San Luis Obispo County,B.1.320
294,USA/CA-CZB-1590/2020,2020-03-25 00:00:00,San Joaquin County,B.1
295,USA/CA-CZB-2043/2020,2020-03-26 00:00:00,San Joaquin County,B
296,USA/CA-CZB-1591/2020,2020-03-26 00:00:00,San Joaquin County,B
297,USA/CA-CZB-1592/2020,2020-03-26 00:00:00,San Joaquin County,B.1.110
298,USA/CA-CZB-1593/2020,2020-03-28 00:00:00,San Joaquin County,B.1
299,USA/CA-CZB-1632/2020,2020-03-28 00:00:00,San Joaquin County,A.1
300,USA/CA-CZB-1464/2020,2020-04-25 00:00:00,San Luis Obispo County,B.1.320
301,USA/CA-CZB-1594/2020,2020-03-28 00:00:00,San Joaquin County,A.1
302,USA/CA-CZB-1596/2020,2020-03-27 00:00:00,San Joaquin County,B.1.110
303,USA/CA-CZB-1466/2020,2020-04-27 00:00:00,San Luis Obispo County,B.1.320
304,USA/CA-CZB-1597/2020,2020-03-27 00:00:00,San Joaquin County,B.1.110
305,USA/CA-CZB-1598/2020,2020-03-29 00:00:00,San Joaquin County,B.1
306,USA/CA-CZB-1469/2020,2020-04-28 00:00:00,San Luis Obispo County,B.1.336
307,USA/CA-CZB-1471/2020,2020-04-28 00:00:00,San Luis Obispo County,B.1.336
308,USA/CA-CZB-1473/2020,2020-04-29 00:00:00,San Luis Obispo County,B.1.336
309,USA/CA-CZB-1474/2020,2020-04-29 00:00:00,San Luis Obispo County,B.1.336
310,USA/CA-CZB-1599/2020,2020-03-31 00:00:00,San Joaquin County,A.1
311,USA/CA-CZB-1600/2020,2020-04-01 00:00:00,San Joaquin County,B.1.369
312,USA/CA-CZB-1601/2020,2020-04-02 00:00:00,San Joaquin County,A.1
313,USA/CA-CZB-1602/2020,2020-04-01 00:00:00,San Joaquin County,A.1
314,USA/CA-CZB-1603/2020,2020-04-03 00:00:00,San Joaquin County,A.1
315,USA/CA-CZB-1604/2020,2020-04-03 00:00:00,San Joaquin County,A.1
316,USA/CA-CZB-2044/2020,2020-04-03 00:00:00,San Joaquin County,B.1.324
317,USA/CA-CZB-1477/2020,2020-05-01 00:00:00,San Luis Obispo County,B.1.320
318,USA/CA-CZB-1605/2020,2020-04-04 00:00:00,San Joaquin County,A.1
319,USA/CA-CZB-1478/2020,2020-05-01 00:00:00,San Luis Obispo County,B.1.320
320,USA/CA-CZB-1479/2020,2020-05-01 00:00:00,San Luis Obispo County,B.1.320
321,USA/CA-CZB-1481/2020,2020-05-01 00:00:00,San Luis Obispo County,B.1.320
322,USA/CA-CZB-1482/2020,2020-05-01 00:00:00,San Luis Obispo County,B.1.320
323,USA/CA-CZB-3635/2020,2020-03-09 00:00:00,Ventura County,B.1
324,USA/CA-CZB-1483/2020,2020-05-01 00:00:00,San Luis Obispo County,B.1.336
325,USA/CA-CZB-1606/2020,2020-04-05 00:00:00,San Joaquin County,B.1
326,USA/CA-CZB-1607/2020,2020-04-06 00:00:00,San Joaquin County,A.1
327,USA/CA-CZB-1608/2020,2020-04-06 00:00:00,San Joaquin County,A.1
328,USA/CA-CZB-1609/2020,2020-04-07 00:00:00,San Joaquin County,B.1
329,USA/CA-CZB-1610/2020,2020-04-08 00:00:00,San Joaquin County,B.1
330,USA/CA-CZB-1611/2020,2020-04-09 00:00:00,San Joaquin County,A.1
331,USA/CA-CZB-1612/2020,2020-04-09 00:00:00,San Joaquin County,B.1.98
332,USA/CA-CZB-2045/2020,2020-04-11 00:00:00,San Joaquin County,A.1
333,USA/CA-CZB-1613/2020,2020-04-11 00:00:00,San Joaquin County,B.1.384
334,USA/CA-CZB-3636/2020,2020-03-13 00:00:00,Ventura County,B.1.320
335,USA/CA-CZB-3636/2020,2020-03-13 00:00:00,Ventura County,B.1.320
336,USA/CA-CZB-2046/2020,2020-04-11 00:00:00,San Joaquin County,B.1.1.207
337,USA/CA-CZB-2047/2020,2020-04-12 00:00:00,San Joaquin County,A.1
338,USA/CA-CZB-1484/2020,2020-05-01 00:00:00,San Luis Obispo County,B.1.320
339,USA/CA-CZB-1614/2020,2020-04-14 00:00:00,San Joaquin County,A.1
340,USA/CA-CZB-1615/2020,2020-04-14 00:00:00,San Joaquin County,A.1
341,USA/CA-CZB-1485/2020,2020-05-06 00:00:00,San Luis Obispo County,B.1.320
342,USA/CA-CZB-3637/2020,2020-03-16 00:00:00,Ventura County,B.1
343,USA/CA-CZB-1616/2020,2020-04-16 00:00:00,San Joaquin County,A.1
344,USA/CA-CZB-1486/2020,2020-05-07 00:00:00,San Luis Obispo County,B.1.320
345,USA/CA-CZB-1617/2020,2020-04-17 00:00:00,San Joaquin County,A.1
346,USA/CA-CZB-1618/2020,2020-04-18 00:00:00,San Joaquin County,B.1
347,USA/CA-CZB-3638/2020,2020-03-17 00:00:00,Ventura County,A.1
348,USA/CA-CZB-1555/2020,2020-03-18 00:00:00,Ventura County,A.1
349,USA/CA-CZB-1619/2020,2020-04-20 00:00:00,San Joaquin County,A.1
350,USA/CA-CZB-2048/2020,2020-04-19 00:00:00,San Joaquin County,B.1.415
351,USA/CA-CZB-2049/2020,2020-04-21 00:00:00,San Joaquin County,B.1.110
352,USA/CA-CZB-2050/2020,2020-04-21 00:00:00,San Joaquin County,B.1.110
353,USA/CA-CZB-1556/2020,2020-03-20 00:00:00,Ventura County,B.1
354,USA/CA-CZB-1620/2020,2020-04-21 00:00:00,San Joaquin County,A.1
355,USA/CA-CZB-3639/2020,2020-03-20 00:00:00,Ventura County,B
356,USA/CA-CZB-2051/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
357,USA/CA-CZB-2052/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
358,USA/CA-CZB-2053/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
359,USA/CA-CZB-2054/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
360,USA/CA-CZB-2056/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
361,USA/CA-CZB-2057/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
362,USA/CA-CZB-2058/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
363,USA/CA-CZB-2059/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
364,USA/CA-CZB-2060/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
365,USA/CA-CZB-2061/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
366,USA/CA-CZB-2062/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
367,USA/CA-CZB-2063/2020,2020-04-22 00:00:00,San Joaquin County,B.1.8
368,USA/CA-CZB-2064/2020,2020-04-24 00:00:00,San Joaquin County,B.1.8
369,USA/CA-CZB-2065/2020,2020-04-25 00:00:00,San Joaquin County,B.1.8
370,USA/CA-CZB-2066/2020,2020-04-25 00:00:00,San Joaquin County,B.1.8
371,USA/CA-CZB-3641/2020,2020-03-23 00:00:00,Ventura County,B.1
372,USA/CA-CZB-3640/2020,2020-03-23 00:00:00,Ventura County,B.1
373,USA/CA-CZB-2067/2020,2020-04-27 00:00:00,San Joaquin County,B.1.8
374,USA/CA-CZB-2068/2020,2020-04-27 00:00:00,San Joaquin County,B.1.8
375,USA/CA-CZB-3642/2020,2020-03-25 00:00:00,Ventura County,B.1
376,USA/CA-CZB-3644/2020,2020-03-25 00:00:00,Ventura County,B.1
377,USA/CA-CZB-3643/2020,2020-03-25 00:00:00,Ventura County,B.1
378,USA/CA-CZB-3643/2020,2020-03-25 00:00:00,Ventura County,B.1
379,USA/CA-CZB-2069/2020,2020-04-30 00:00:00,San Joaquin County,B.1.8
380,USA/CA-CZB-1621/2020,2020-05-01 00:00:00,San Joaquin County,B.1.503
381,USA/CA-CZB-3645/2020,2020-03-27 00:00:00,Ventura County,B.1
382,USA/CA-CZB-2070/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
383,USA/CA-CZB-2071/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
384,USA/CA-CZB-2072/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
385,USA/CA-CZB-2073/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
386,USA/CA-CZB-2074/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
387,USA/CA-CZB-2075/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
388,USA/CA-CZB-2076/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
389,USA/CA-CZB-2077/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
390,USA/CA-CZB-2078/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
391,USA/CA-CZB-2079/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
392,USA/CA-CZB-2080/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
393,USA/CA-CZB-2081/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
394,USA/CA-CZB-2082/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
395,USA/CA-CZB-2083/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
396,USA/CA-CZB-2084/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
397,USA/CA-CZB-2085/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
398,USA/CA-CZB-2086/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
399,USA/CA-CZB-2087/2020,2020-05-04 00:00:00,San Joaquin County,B.1.8
400,USA/CA-CZB-1559/2020,2020-03-29 00:00:00,Ventura County,B.1
401,USA/CA-CZB-1560/2020,2020-03-30 00:00:00,Ventura County,B.1.166
402,USA/CA-CZB-2088/2020,2020-05-06 00:00:00,San Joaquin County,B.1.8
403,USA/CA-CZB-2089/2020,2020-05-06 00:00:00,San Joaquin County,B.1.166
404,USA/CA-CZB-1561/2020,2020-04-01 00:00:00,Ventura County,B.1
405,USA/CA-CZB-3646/2020,2020-04-01 00:00:00,Ventura County,B.1.1.174
406,USA/CA-CZB-1562/2020,2020-04-02 00:00:00,Ventura County,B.1.166
407,USA/CA-CZB-1563/2020,2020-04-02 00:00:00,Ventura County,B.1.166
408,USA/CA-CZB-10965/2020,2020-09-21 00:00:00,Tulare County,B.1.243
409,USA/CA-CZB-10966/2020,2020-09-22 00:00:00,Tulare County,B.1.243
410,USA/CA-CZB-1622/2020,2020-05-07 00:00:00,San Joaquin County,B.1.453
411,USA/CA-CZB-1623/2020,2020-05-07 00:00:00,San Joaquin County,B.1.453
412,USA/CA-CZB-2090/2020,2020-05-07 00:00:00,San Joaquin County,B.1.8
413,USA/CA-CZB-1624/2020,2020-05-07 00:00:00,San Joaquin County,B.1.8
414,USA/CA-CZB-2091/2020,2020-05-07 00:00:00,San Joaquin County,B.1.8
415,USA/CA-CZB-12376/2020,2020-09-29 00:00:00,Tulare County,B.1.369
416,USA/CA-CZB-12376/2020,2020-09-29 00:00:00,Tulare County,B.1.369
417,USA/CA-CZB-12376/2020,2020-09-29 00:00:00,Tulare County,B.1.369
418,USA/CA-CZB-12377/2020,2020-09-29 00:00:00,Tulare County,B.1.369
419,USA/CA-CZB-1625/2020,2020-05-07 00:00:00,San Joaquin County,B.1.503
420,USA/CA-CZB-1626/2020,2020-05-08 00:00:00,San Joaquin County,B.1.110
421,USA/CA-CZB-1627/2020,2020-05-08 00:00:00,San Joaquin County,B.1.110
422,USA/CA-CZB-1628/2020,2020-05-08 00:00:00,San Joaquin County,B.1
423,USA/CA-CZB-2092/2020,2020-05-09 00:00:00,San Joaquin County,B.1.8
424,USA/CA-CZB-1629/2020,2020-05-09 00:00:00,San Joaquin County,B.1.453
425,USA/CA-CZB-1564/2020,2020-04-05 00:00:00,Ventura County,B.1
426,USA/CA-CZB-1566/2020,2020-04-05 00:00:00,Ventura County,B.1
427,USA/CA-CZB-1570/2020,2020-04-07 00:00:00,Ventura County,B.1.163
428,USA/CA-CZB-3647/2020,2020-04-08 00:00:00,Ventura County,B.1
429,USA/CA-CZB-12379/2020,2020-10-02 00:00:00,Tulare County,B.1.2
430,USA/CA-CZB-12379/2020,2020-10-02 00:00:00,Tulare County,B.1.2
431,USA/CA-CZB-12379/2020,2020-10-02 00:00:00,Tulare County,B.1.2
432,USA/CA-CZB-12378/2020,2020-10-02 00:00:00,Tulare County,B.1.243
433,USA/CA-CZB-12380/2020,2020-10-06 00:00:00,Tulare County,B.1.240
434,USA/CA-CZB-14712/2020,2020-10-22 00:00:00,Tulare County,B.1.2
435,USA/CA-CZB-14713/2020,2020-10-23 00:00:00,Tulare County,B.1.2
436,USA/CA-CZB-14714/2020,2020-10-26 00:00:00,Tulare County,B.1.2
437,USA/CA-CZB-1572/2020,2020-04-12 00:00:00,Ventura County,B.1.1.70
438,USA/CA-CZB-1573/2020,2020-04-12 00:00:00,Ventura County,B.1.1.70
439,USA/CA-CZB-3763/2020,2020-04-14 00:00:00,Ventura County,B.1.163
440,USA/CA-CZB-3764/2020,2020-04-14 00:00:00,Ventura County,B.1.163
441,USA/CA-CZB-3765/2020,2020-04-15 00:00:00,Ventura County,B.1.320
442,USA/CA-CZB-15495/2020,2020-06-15 00:00:00,San Luis Obispo County,B.1.267
443,USA/CA-CZB-1538/2020,2020-04-20 00:00:00,Ventura County,B.1
444,USA/CA-CZB-1539/2020,2020-04-21 00:00:00,Ventura County,B.1.1.70
445,USA/CA-CZB-1540/2020,2020-04-22 00:00:00,Ventura County,B.1.320
446,USA/CA-CZB-1542/2020,2020-04-23 00:00:00,Ventura County,B.1.1.70
447,USA/CA-CZB-1541/2020,2020-04-23 00:00:00,Ventura County,B.1.163
448,USA/CA-CZB-1537/2020,2020-04-25 00:00:00,Ventura County,B.1.163
449,USA/CA-CZB-1536/2020,2020-04-27 00:00:00,Ventura County,B.1.163
450,USA/CA-CZB-1544/2020,2020-04-28 00:00:00,Ventura County,B.1
451,USA/CA-CZB-1543/2020,2020-04-28 00:00:00,Ventura County,B.1.320
452,USA/CA-CZB-1534/2020,2020-04-29 00:00:00,Ventura County,B.1.320
453,USA/CA-CZB-1551/2020,2020-04-29 00:00:00,Ventura County,B.1.1.61
454,USA/CA-CZB-1533/2020,2020-04-30 00:00:00,Ventura County,B.1
455,USA/CA-CZB-1532/2020,2020-04-30 00:00:00,Ventura County,B.1
456,USA/CA-CZB-1531/2020,2020-05-01 00:00:00,Ventura County,B.1.320
457,USA/CA-CZB-1530/2020,2020-05-02 00:00:00,Ventura County,B.1
458,USA/CA-CZB-1529/2020,2020-05-02 00:00:00,Ventura County,B.1
459,USA/CA-CZB-1528/2020,2020-05-03 00:00:00,Ventura County,B.1.320
460,USA/CA-CZB-1526/2020,2020-05-05 00:00:00,Ventura County,B.1.241
461,USA/CA-CZB-1524/2020,2020-05-06 00:00:00,Ventura County,B.1.320
462,USA/CA-CZB-1525/2020,2020-05-06 00:00:00,Ventura County,B.1.320
463,USA/CA-CZB-1523/2020,2020-05-07 00:00:00,Ventura County,B.1.320
464,USA/CA-CZB-1522/2020,2020-05-08 00:00:00,Ventura County,B.1
465,USA/CA-CZB-1520/2020,2020-05-11 00:00:00,Ventura County,B.1.320
466,USA/CA-CZB-1521/2020,2020-05-11 00:00:00,Ventura County,B.1.320
467,USA/CA-CZB-1549/2020,2020-05-11 00:00:00,Ventura County,B.1.320
468,USA/CA-CZB-1519/2020,2020-05-11 00:00:00,Ventura County,B.1.320
469,USA/CA-CZB-1546/2020,2020-05-11 00:00:00,Ventura County,B.1.320
470,USA/CA-CZB-1545/2020,2020-05-11 00:00:00,Ventura County,B.1.320
471,USA/CA-CZB-1547/2020,2020-05-11 00:00:00,Ventura County,B.1.320
472,USA/CA-CZB-1518/2020,2020-05-12 00:00:00,Ventura County,B.1.320
473,USA/CA-CZB-1517/2020,2020-05-13 00:00:00,Ventura County,B.1
474,USA/CA-CZB-1516/2020,2020-05-15 00:00:00,Ventura County,B.1
475,USA/CA-CZB-1515/2020,2020-05-16 00:00:00,Ventura County,B.1.243
476,USA/CA-CZB-3770/2020,2020-05-13 00:00:00,Ventura County,B.1.369
477,USA/CA-CZB-3773/2020,2020-05-24 00:00:00,Ventura County,B.1.1.287
478,USA/CA-CZB-3774/2020,2020-05-26 00:00:00,Ventura County,B.1.521
479,USA/CA-CZB-3775/2020,2020-05-30 00:00:00,Ventura County,B.1.369
480,USA/CA-CZB-3776/2020,2020-06-04 00:00:00,Ventura County,B.1.320
481,USA/CA-CZB-3777/2020,2020-06-04 00:00:00,Ventura County,B.1.243
482,USA/CA-CZB-3778/2020,2020-06-04 00:00:00,Ventura County,B.1.320
483,USA/CA-CZB-3779/2020,2020-06-04 00:00:00,Ventura County,B.1.320
484,USA/CA-CZB-3781/2020,2020-06-04 00:00:00,Ventura County,B.1.320
485,USA/CA-CZB-3783/2020,2020-06-04 00:00:00,Ventura County,B.1.320
486,USA/CA-CZB-3784/2020,2020-06-04 00:00:00,Ventura County,B.1.320
487,USA/CA-CZB-3787/2020,2020-06-04 00:00:00,Ventura County,B.1.320
488,USA/CA-CZB-3768/2020,2020-06-05 00:00:00,Ventura County,B.1.243
489,USA/CA-CZB-3762/2020,2020-06-05 00:00:00,Ventura County,B.1.320
490,USA/CA-CZB-3769/2020,2020-06-05 00:00:00,Ventura County,B.1.320
491,USA/CA-CZB-3792/2020,2020-06-05 00:00:00,Ventura County,B.1.320
492,USA/CA-CZB-3794/2020,2020-06-07 00:00:00,Ventura County,B.1.320
493,USA/CA-CZB-3793/2020,,Ventura County,B.1.243
494,USA/CA-CZB-3800/2020,2020-06-12 00:00:00,Ventura County,B.1.1.1
495,USA/CA-CZB-3801/2020,2020-06-14 00:00:00,Ventura County,B.1.243
496,USA/CA-CZB-3767/2020,2020-06-18 00:00:00,Ventura County,B.1
497,USA/CA-CZB-3766/2020,2020-06-28 00:00:00,Ventura County,B.1.243
498,USA/CA-CZB-19398/2020,2020-12-20 00:00:00,Alameda County,B.1.429
499,USA/CA-CZB-19401/2020,2020-12-27 00:00:00,Alameda County,B.1.1.274
500,USA/CA-CZB-19399/2020,2020-12-29 00:00:00,Alameda County,B.1.232
501,USA/CA-CZB-19400/2020,2020-12-29 00:00:00,Alameda County,B.1.429
502,USA/CA-CZB-15497/2020,2020-11-04 00:00:00,San Luis Obispo County,B.1.1.288
503,USA/CA-CZB-11781/2020,2020-09-15 00:00:00,San Joaquin County,B.1.1.207
504,USA/CA-CZB-15481/2020,2020-09-02 00:00:00,San Luis Obispo County,B.1.399
505,USA/CA-CZB-15482/2020,2020-09-04 00:00:00,San Luis Obispo County,B.1.399
506,USA/CA-CZB-15483/2020,2020-09-04 00:00:00,San Luis Obispo County,B.1.399
507,USA/CA-CZB-15488/2020,2020-09-15 00:00:00,San Luis Obispo County,B.1.399
508,USA/CA-CZB-15490/2020,2020-09-16 00:00:00,San Luis Obispo County,B.1.399
509,USA/CA-CZB-15491/2020,2020-09-17 00:00:00,San Luis Obispo County,B.1.2
510,USA/CA-CZB-15492/2020,2020-09-17 00:00:00,San Luis Obispo County,B.1
511,USA/CA-CZB-15493/2020,2020-09-18 00:00:00,San Luis Obispo County,B.1.399
512,USA/CA-CZB-15494/2020,2020-09-22 00:00:00,San Luis Obispo County,B.1.243
513,USA/CA-CZB-1765/2020,2020-05-06 00:00:00,Santa Clara County,B.1
514,USA/CA-CZB-1766/2020,2020-05-06 00:00:00,Santa Clara County,A.1
515,USA/CA-CZB-13340/2020,2020-05-02 00:00:00,Alameda County,B.1.503
516,USA/CA-CZB-13071/2020,2020-05-03 00:00:00,Alameda County,B.1.166
517,USA/CA-CZB-13073/2020,2020-05-03 00:00:00,Alameda County,B.1.453
518,USA/CA-CZB-13072/2020,2020-05-03 00:00:00,Alameda County,B.1.166
519,USA/CA-CZB-13356/2020,2020-04-30 00:00:00,Alameda County,B.1.453
520,USA/CA-CZB-13347/2020,2020-05-01 00:00:00,Alameda County,B.1.453
