gisaid_name	lineage	county	collection_date	MMWRyear	MMWRweek
hCoV-19/USA/CA-CZB-14049/2020	B.1.1.101	Alameda County	2020-07-09	2020	28
hCoV-19/USA/CA-CZB-13359/2020	B.1.1.109	Alameda County	2020-05-21	2020	21
hCoV-19/USA/CA-CZB-13940/2020	B.1.1.127	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-14075/2020	B.1.1.127	Alameda County	2020-06-25	2020	26
hCoV-19/USA/CA-CZB-14070/2020	B.1.1.127	Alameda County	2020-06-25	2020	26
hCoV-19/USA/CA-CZB-14057/2020	B.1.1.128	Alameda County	2020-06-28	2020	27
hCoV-19/USA/CA-CZB-13893/2020	B.1.1.128	Alameda County	2020-08-10	2020	33
hCoV-19/USA/CA-CZB-14288/2020	B.1.1.128	Alameda County	2020-08-28	2020	35
hCoV-19/USA/CA-CZB-13837/2020	B.1.1.130	Alameda County	2020-08-14	2020	33
hCoV-19/USA/CA-CZB-13996/2020	B.1.1.162	Alameda County	2020-06-14	2020	25
hCoV-19/USA/CA-CZB-13955/2020	B.1.1.174	Alameda County	2020-06-21	2020	26
hCoV-19/USA/CA-CZB-13945/2020	B.1.1.174	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-14083/2020	B.1.1.174	Alameda County	2020-06-23	2020	26
hCoV-19/USA/CA-CZB-13943/2020	B.1.1.174	Alameda County	2020-06-23	2020	26
hCoV-19/USA/CA-CZB-13909/2020	B.1.1.174	Alameda County	2020-08-07	2020	32
hCoV-19/USA/CA-CZB-13895/2020	B.1.1.174	Alameda County	2020-08-10	2020	33
hCoV-19/USA/CA-CZB-13768/2020	B.1.1.186	Alameda County	2020-09-18	2020	38
hCoV-19/USA/CA-CZB-13787/2020	B.1.1.186	Alameda County	2020-09-23	2020	39
hCoV-19/USA/CA-CZB-14101/2020	B.1.1.205	Alameda County	2020-05-27	2020	22
hCoV-19/USA/CA-CZB-11125/2020	B.1.1.205	Alameda County	2020-05-30	2020	22
hCoV-19/USA/CA-CZB-14000/2020	B.1.1.205	Alameda County	2020-06-10	2020	24
hCoV-19/USA/CA-CZB-13979/2020	B.1.1.205	Alameda County	2020-06-18	2020	25
hCoV-19/USA/CA-CZB-14390/2020	B.1.1.205	Alameda County	2020-07-01	2020	27
hCoV-19/USA/CA-CZB-13792/2020	B.1.1.205	Alameda County	2020-09-24	2020	39
hCoV-19/USA/CA-CZB-11855/2020	B.1.1.205	Alameda County	2020-10-03	2020	40
hCoV-19/USA/CA-CZB-13866/2020	B.1.1.216	Alameda County	2020-08-12	2020	33
hCoV-19/USA/CA-CZB-13796/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13797/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13815/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13833/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13852/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13861/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13834/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13807/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13870/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13806/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13843/2020	B.1.1.216	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13822/2020	B.1.1.216	Alameda County	2020-08-18	2020	34
hCoV-19/USA/CA-CZB-14302/2020	B.1.1.216	Alameda County	2020-08-22	2020	34
hCoV-19/USA/CA-CZB-14313/2020	B.1.1.216	Alameda County	2020-08-22	2020	34
hCoV-19/USA/CA-CZB-13392/2020	B.1.1.216	Alameda County	2020-09-01	2020	36
hCoV-19/USA/CA-CZB-13409/2020	B.1.1.216	Alameda County	2020-09-02	2020	36
hCoV-19/USA/CA-CZB-13424/2020	B.1.1.216	Alameda County	2020-09-03	2020	36
hCoV-19/USA/CA-CZB-11870/2020	B.1.1.216	Alameda County	2020-09-08	2020	37
hCoV-19/USA/CA-CZB-13449/2020	B.1.1.216	Alameda County	2020-09-09	2020	37
hCoV-19/USA/CA-CZB-13454/2020	B.1.1.216	Alameda County	2020-09-09	2020	37
hCoV-19/USA/CA-CZB-13744/2020	B.1.1.216	Alameda County	2020-09-11	2020	37
hCoV-19/USA/CA-CZB-13748/2020	B.1.1.222	Alameda County	2020-09-14	2020	38
hCoV-19/USA/CA-CZB-14431/2020	B.1.1.222	Alameda County	2020-11-04	2020	45
hCoV-19/USA/CA-CZB-19409/2021	B.1.1.222	Alameda County	2021-01-03	2021	1
hCoV-19/USA/CA-CZB-19430/2021	B.1.1.222	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-19464/2021	B.1.1.222	Alameda County	2021-01-05	2021	1
hCoV-19/USA/CA-CZB-14332/2020	B.1.1.228	Alameda County	2020-07-24	2020	30
hCoV-19/USA/CA-CZB-13928/2020	B.1.1.239	Alameda County	2020-08-03	2020	32
hCoV-19/USA/CA-CZB-13035/2020	B.1.1.274	Alameda County	2020-05-14	2020	20
hCoV-19/USA/CA-CZB-19401/2020	B.1.1.274	Alameda County	2020-12-27	2020	53
hCoV-19/USA/CA-CZB-19410/2021	B.1.1.274	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-14387/2020	B.1.1.277	Alameda County	2020-06-29	2020	27
hCoV-19/USA/CA-CZB-14410/2020	B.1.1.277	Alameda County	2020-06-29	2020	27
hCoV-19/USA/CA-CZB-14409/2020	B.1.1.277	Alameda County	2020-06-29	2020	27
hCoV-19/USA/CA-CZB-14305/2020	B.1.1.277	Alameda County	2020-08-24	2020	35
hCoV-19/USA/CA-CZB-14056/2020	B.1.1.287	Alameda County	2020-06-28	2020	27
hCoV-19/USA/CA-CZB-14106/2020	B.1.1.29	Alameda County	2020-05-22	2020	21
hCoV-19/USA/CA-CZB-14133/2020	B.1.1.29	Alameda County	2020-05-23	2020	21
hCoV-19/USA/CA-CZB-14111/2020	B.1.1.29	Alameda County	2020-05-26	2020	22
hCoV-19/USA/CA-CZB-11128/2020	B.1.1.29	Alameda County	2020-05-30	2020	22
hCoV-19/USA/CA-CZB-13824/2020	B.1.1.29	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-14296/2020	B.1.1.294	Alameda County	2020-08-24	2020	35
hCoV-19/USA/CA-CZB-19440/2021	B.1.1.4	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-14322/2020	B.1.1.54	Alameda County	2020-07-29	2020	31
hCoV-19/USA/CA-CZB-13799/2020	B.1.1.64	Alameda County	2020-08-14	2020	33
hCoV-19/USA/CA-CZB-1398/2020	B.1.1.70	Alameda County	2020-04-19	2020	17
hCoV-19/USA/CA-CZB-13024/2020	B.1.1.70	Alameda County	2020-05-11	2020	20
hCoV-19/USA/CA-CZB-13038/2020	B.1.1.70	Alameda County	2020-05-14	2020	20
hCoV-19/USA/CA-CZB-13060/2020	B.1.1.70	Alameda County	2020-05-17	2020	21
hCoV-19/USA/CA-CZB-13362/2020	B.1.1.70	Alameda County	2020-05-21	2020	21
hCoV-19/USA/CA-CZB-14134/2020	B.1.1.70	Alameda County	2020-05-23	2020	21
hCoV-19/USA/CA-CZB-14117/2020	B.1.1.70	Alameda County	2020-05-23	2020	21
hCoV-19/USA/CA-CZB-14130/2020	B.1.1.70	Alameda County	2020-05-23	2020	21
hCoV-19/USA/CA-CZB-14118/2020	B.1.1.70	Alameda County	2020-05-24	2020	22
hCoV-19/USA/CA-CZB-14145/2020	B.1.1.70	Alameda County	2020-05-25	2020	22
hCoV-19/USA/CA-CZB-14107/2020	B.1.1.70	Alameda County	2020-05-26	2020	22
hCoV-19/USA/CA-CZB-14119/2020	B.1.1.70	Alameda County	2020-05-26	2020	22
hCoV-19/USA/CA-CZB-14135/2020	B.1.1.70	Alameda County	2020-05-26	2020	22
hCoV-19/USA/CA-CZB-14110/2020	B.1.1.70	Alameda County	2020-05-27	2020	22
hCoV-19/USA/CA-CZB-14122/2020	B.1.1.70	Alameda County	2020-05-27	2020	22
hCoV-19/USA/CA-CZB-11115/2020	B.1.1.70	Alameda County	2020-05-28	2020	22
hCoV-19/USA/CA-CZB-11117/2020	B.1.1.70	Alameda County	2020-05-29	2020	22
hCoV-19/USA/CA-CZB-11122/2020	B.1.1.70	Alameda County	2020-05-29	2020	22
hCoV-19/USA/CA-CZB-11131/2020	B.1.1.70	Alameda County	2020-05-30	2020	22
hCoV-19/USA/CA-CZB-14009/2020	B.1.1.70	Alameda County	2020-06-08	2020	24
hCoV-19/USA/CA-CZB-13995/2020	B.1.1.70	Alameda County	2020-06-14	2020	25
hCoV-19/USA/CA-CZB-13973/2020	B.1.1.70	Alameda County	2020-06-18	2020	25
hCoV-19/USA/CA-CZB-13975/2020	B.1.1.70	Alameda County	2020-06-18	2020	25
hCoV-19/USA/CA-CZB-13974/2020	B.1.1.70	Alameda County	2020-06-18	2020	25
hCoV-19/USA/CA-CZB-13967/2020	B.1.1.70	Alameda County	2020-06-19	2020	25
hCoV-19/USA/CA-CZB-13968/2020	B.1.1.70	Alameda County	2020-06-19	2020	25
hCoV-19/USA/CA-CZB-13959/2020	B.1.1.70	Alameda County	2020-06-21	2020	26
hCoV-19/USA/CA-CZB-13941/2020	B.1.1.70	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-13942/2020	B.1.1.70	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-13952/2020	B.1.1.70	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-13950/2020	B.1.1.70	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-14084/2020	B.1.1.70	Alameda County	2020-06-23	2020	26
hCoV-19/USA/CA-CZB-14402/2020	B.1.1.70	Alameda County	2020-06-29	2020	27
hCoV-19/USA/CA-CZB-14400/2020	B.1.1.70	Alameda County	2020-07-02	2020	27
hCoV-19/USA/CA-CZB-14373/2020	B.1.1.70	Alameda County	2020-07-06	2020	28
hCoV-19/USA/CA-CZB-14416/2020	B.1.1.70	Alameda County	2020-07-08	2020	28
hCoV-19/USA/CA-CZB-14383/2020	B.1.1.70	Alameda County	2020-07-08	2020	28
hCoV-19/USA/CA-CZB-14365/2020	B.1.1.70	Alameda County	2020-07-09	2020	28
hCoV-19/USA/CA-CZB-14367/2020	B.1.1.70	Alameda County	2020-07-09	2020	28
hCoV-19/USA/CA-CZB-14363/2020	B.1.1.70	Alameda County	2020-07-09	2020	28
hCoV-19/USA/CA-CZB-14050/2020	B.1.1.70	Alameda County	2020-07-10	2020	28
hCoV-19/USA/CA-CZB-14019/2020	B.1.1.70	Alameda County	2020-07-11	2020	28
hCoV-19/USA/CA-CZB-14360/2020	B.1.1.70	Alameda County	2020-07-14	2020	29
hCoV-19/USA/CA-CZB-14351/2020	B.1.1.70	Alameda County	2020-07-14	2020	29
hCoV-19/USA/CA-CZB-14355/2020	B.1.1.70	Alameda County	2020-07-15	2020	29
hCoV-19/USA/CA-CZB-14350/2020	B.1.1.70	Alameda County	2020-07-16	2020	29
hCoV-19/USA/CA-CZB-14342/2020	B.1.1.70	Alameda County	2020-07-17	2020	29
hCoV-19/USA/CA-CZB-14336/2020	B.1.1.70	Alameda County	2020-07-23	2020	30
hCoV-19/USA/CA-CZB-13890/2020	B.1.1.70	Alameda County	2020-08-10	2020	33
hCoV-19/USA/CA-CZB-13888/2020	B.1.1.70	Alameda County	2020-08-10	2020	33
hCoV-19/USA/CA-CZB-13821/2020	B.1.1.70	Alameda County	2020-08-12	2020	33
hCoV-19/USA/CA-CZB-13856/2020	B.1.1.70	Alameda County	2020-08-12	2020	33
hCoV-19/USA/CA-CZB-13865/2020	B.1.1.70	Alameda County	2020-08-12	2020	33
hCoV-19/USA/CA-CZB-13836/2020	B.1.1.70	Alameda County	2020-08-15	2020	33
hCoV-19/USA/CA-CZB-14257/2020	B.1.1.70	Alameda County	2020-08-20	2020	34
hCoV-19/USA/CA-CZB-13831/2020	B.1.1.70	Alameda County	2020-08-20	2020	34
hCoV-19/USA/CA-CZB-14269/2020	B.1.1.70	Alameda County	2020-08-22	2020	34
hCoV-19/USA/CA-CZB-14260/2020	B.1.1.70	Alameda County	2020-08-24	2020	35
hCoV-19/USA/CA-CZB-14259/2020	B.1.1.70	Alameda County	2020-08-25	2020	35
hCoV-19/USA/CA-CZB-14261/2020	B.1.1.70	Alameda County	2020-08-26	2020	35
hCoV-19/USA/CA-CZB-14320/2020	B.1.1.70	Alameda County	2020-08-28	2020	35
hCoV-19/USA/CA-CZB-13397/2020	B.1.1.70	Alameda County	2020-09-01	2020	36
hCoV-19/USA/CA-CZB-13401/2020	B.1.1.70	Alameda County	2020-09-02	2020	36
hCoV-19/USA/CA-CZB-13413/2020	B.1.1.70	Alameda County	2020-09-02	2020	36
hCoV-19/USA/CA-CZB-11858/2020	B.1.1.70	Alameda County	2020-10-02	2020	40
hCoV-19/USA/CA-CZB-14323/2020	B.1.1.82	Alameda County	2020-07-29	2020	31
hCoV-19/USA/CA-CZB-13460/2020	B.1.1.82	Alameda County	2020-09-09	2020	37
hCoV-19/USA/CA-CZB-1346/2020	B.1.110	Alameda County	2020-04-09	2020	15
hCoV-19/USA/CA-CZB-1354/2020	B.1.110	Alameda County	2020-04-12	2020	16
hCoV-19/USA/CA-CZB-1358/2020	B.1.110	Alameda County	2020-04-12	2020	16
hCoV-19/USA/CA-CZB-1274/2020	B.1.110	Alameda County	2020-04-16	2020	16
hCoV-19/USA/CA-CZB-13349/2020	B.1.110	Alameda County	2020-04-30	2020	18
hCoV-19/USA/CA-CZB-13080/2020	B.1.110	Alameda County	2020-05-07	2020	19
hCoV-19/USA/CA-CZB-13022/2020	B.1.110	Alameda County	2020-05-11	2020	20
hCoV-19/USA/CA-CZB-13048/2020	B.1.110	Alameda County	2020-05-15	2020	20
hCoV-19/USA/CA-CZB-11113/2020	B.1.110	Alameda County	2020-05-28	2020	22
hCoV-19/USA/CA-CZB-14010/2020	B.1.110	Alameda County	2020-06-08	2020	24
hCoV-19/USA/CA-CZB-19437/2021	B.1.139	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-1341/2020	B.1.166	Alameda County	2020-04-08	2020	15
hCoV-19/USA/CA-CZB-13352/2020	B.1.166	Alameda County	2020-04-30	2020	18
hCoV-19/USA/CA-CZB-13351/2020	B.1.166	Alameda County	2020-04-30	2020	18
hCoV-19/USA/CA-CZB-13067/2020	B.1.166	Alameda County	2020-05-03	2020	19
hCoV-19/USA/CA-CZB-13071/2020	B.1.166	Alameda County	2020-05-03	2020	19
hCoV-19/USA/CA-CZB-13072/2020	B.1.166	Alameda County	2020-05-03	2020	19
hCoV-19/USA/CA-CZB-13345/2020	B.1.166	Alameda County	2020-05-03	2020	19
hCoV-19/USA/CA-CZB-13077/2020	B.1.166	Alameda County	2020-05-06	2020	19
hCoV-19/USA/CA-CZB-13078/2020	B.1.166	Alameda County	2020-05-06	2020	19
hCoV-19/USA/CA-CZB-13088/2020	B.1.166	Alameda County	2020-05-08	2020	19
hCoV-19/USA/CA-CZB-13094/2020	B.1.166	Alameda County	2020-05-09	2020	19
hCoV-19/USA/CA-CZB-13034/2020	B.1.166	Alameda County	2020-05-14	2020	20
hCoV-19/USA/CA-CZB-13044/2020	B.1.166	Alameda County	2020-05-16	2020	20
hCoV-19/USA/CA-CZB-13063/2020	B.1.166	Alameda County	2020-05-18	2020	21
hCoV-19/USA/CA-CZB-13064/2020	B.1.166	Alameda County	2020-05-18	2020	21
hCoV-19/USA/CA-CZB-14370/2020	B.1.2	Alameda County	2020-07-07	2020	28
hCoV-19/USA/CA-CZB-14048/2020	B.1.2	Alameda County	2020-07-09	2020	28
hCoV-19/USA/CA-CZB-13869/2020	B.1.2	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-14314/2020	B.1.2	Alameda County	2020-08-23	2020	35
hCoV-19/USA/CA-CZB-14265/2020	B.1.2	Alameda County	2020-08-25	2020	35
hCoV-19/USA/CA-CZB-14254/2020	B.1.2	Alameda County	2020-08-27	2020	35
hCoV-19/USA/CA-CZB-14262/2020	B.1.2	Alameda County	2020-08-28	2020	35
hCoV-19/USA/CA-CZB-13444/2020	B.1.2	Alameda County	2020-09-04	2020	36
hCoV-19/USA/CA-CZB-13459/2020	B.1.2	Alameda County	2020-09-09	2020	37
hCoV-19/USA/CA-CZB-13759/2020	B.1.2	Alameda County	2020-09-17	2020	38
hCoV-19/USA/CA-CZB-14430/2020	B.1.2	Alameda County	2020-11-04	2020	45
hCoV-19/USA/CA-CZB-14422/2020	B.1.2	Alameda County	2020-11-05	2020	45
hCoV-19/USA/CA-CZB-14421/2020	B.1.2	Alameda County	2020-11-05	2020	45
hCoV-19/USA/CA-CZB-14426/2020	B.1.2	Alameda County	2020-11-05	2020	45
hCoV-19/USA/CA-CZB-14423/2020	B.1.2	Alameda County	2020-11-05	2020	45
hCoV-19/USA/CA-CZB-14424/2020	B.1.2	Alameda County	2020-11-05	2020	45
hCoV-19/USA/CA-CZB-19405/2020	B.1.2	Alameda County	2020-12-29	2020	53
hCoV-19/USA/CA-CZB-19449/2021	B.1.2	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-19445/2021	B.1.2	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-19422/2021	B.1.2	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-19457/2021	B.1.2	Alameda County	2021-01-05	2021	1
hCoV-19/USA/CA-CZB-19453/2021	B.1.2	Alameda County	2021-01-05	2021	1
hCoV-19/USA/CA-CZB-19451/2021	B.1.2	Alameda County	2021-01-05	2021	1
