county	lineage	collection_date	MMWRweek	count_in_MMWRweek
Alameda County	B.1.1.216	2020-09-08	37	1
Alameda County	B.1.1.216	2020-09-09	37	2
Alameda County	B.1.1.216	2020-09-11	37	1
Alameda County	B.1.1.222	2020-09-14	38	1
Alameda County	B.1.1.222	2020-11-04	45	1
Alameda County	B.1.1.222	2021-01-03	1	1
Alameda County	B.1.1.222	2021-01-04	1	1
Alameda County	B.1.1.222	2021-01-05	1	1
Alameda County	B.1.1.228	2020-07-24	30	1
Alameda County	B.1.1.239	2020-08-03	32	1
Alameda County	B.1.1.274	2020-05-14	20	1
Alameda County	B.1.1.274	2020-12-27	53	1
Alameda County	B.1.1.274	2021-01-04	1	1
Alameda County	B.1.1.277	2020-06-29	27	3
Alameda County	B.1.1.277	2020-08-24	35	1
Alameda County	B.1.1.287	2020-06-28	27	1
Alameda County	B.1.1.29	2020-05-22	21	1
Alameda County	B.1.1.29	2020-05-23	21	1
Alameda County	B.1.1.29	2020-05-26	22	1
Alameda County	B.1.1.29	2020-05-30	22	1
Alameda County	B.1.1.29	2020-08-17	34	1
Alameda County	B.1.1.294	2020-08-24	35	1
Alameda County	B.1.1.4	2021-01-04	1	1
Alameda County	B.1.1.54	2020-07-29	31	1
Alameda County	B.1.1.64	2020-08-14	33	1
Alameda County	B.1.1.70	2020-04-19	17	1
Alameda County	B.1.1.70	2020-05-11	20	1
Alameda County	B.1.1.70	2020-05-14	20	1
Alameda County	B.1.1.70	2020-05-17	21	1
Alameda County	B.1.1.70	2020-05-21	21	1
Alameda County	B.1.1.70	2020-05-23	21	3
Alameda County	B.1.1.70	2020-05-24	22	1
Alameda County	B.1.1.70	2020-05-25	22	1
Alameda County	B.1.1.70	2020-05-26	22	3
Alameda County	B.1.1.70	2020-05-27	22	2
Alameda County	B.1.1.70	2020-05-28	22	1
Alameda County	B.1.1.70	2020-05-29	22	2
Alameda County	B.1.1.70	2020-05-30	22	1
Alameda County	B.1.1.70	2020-06-08	24	1
Alameda County	B.1.1.70	2020-06-14	25	1
Alameda County	B.1.1.70	2020-06-18	25	3
Alameda County	B.1.1.70	2020-06-19	25	2
Alameda County	B.1.1.70	2020-06-21	26	1
Alameda County	B.1.1.70	2020-06-22	26	4
Alameda County	B.1.1.70	2020-06-23	26	1
Alameda County	B.1.1.70	2020-06-29	27	1
Alameda County	B.1.1.70	2020-07-02	27	1
Alameda County	B.1.1.70	2020-07-06	28	1
Alameda County	B.1.1.70	2020-07-08	28	2
Alameda County	B.1.1.70	2020-07-09	28	3
Alameda County	B.1.1.70	2020-07-10	28	1
Alameda County	B.1.1.70	2020-07-11	28	1
Alameda County	B.1.1.70	2020-07-14	29	2
Alameda County	B.1.1.70	2020-07-15	29	1
Alameda County	B.1.1.70	2020-07-16	29	1
Alameda County	B.1.1.70	2020-07-17	29	1
Alameda County	B.1.1.70	2020-07-23	30	1
Alameda County	B.1.1.70	2020-08-10	33	2
Alameda County	B.1.1.70	2020-08-12	33	3
Alameda County	B.1.1.70	2020-08-15	33	1
Alameda County	B.1.1.70	2020-08-20	34	2
Alameda County	B.1.1.70	2020-08-22	34	1
Alameda County	B.1.1.70	2020-08-24	35	1
Alameda County	B.1.1.70	2020-08-25	35	1
Alameda County	B.1.1.70	2020-08-26	35	1
Alameda County	B.1.1.70	2020-08-28	35	1
Alameda County	B.1.1.70	2020-09-01	36	1
Alameda County	B.1.1.70	2020-09-02	36	2
Alameda County	B.1.1.70	2020-10-02	40	1
Alameda County	B.1.1.82	2020-07-29	31	1
Alameda County	B.1.1.82	2020-09-09	37	1
Alameda County	B.1.110	2020-04-09	15	1
Alameda County	B.1.110	2020-04-12	16	2
Alameda County	B.1.110	2020-04-16	16	1
Alameda County	B.1.110	2020-04-30	18	1
Alameda County	B.1.110	2020-05-07	19	1
Alameda County	B.1.110	2020-05-11	20	1
Alameda County	B.1.110	2020-05-15	20	1
Alameda County	B.1.110	2020-05-28	22	1
Alameda County	B.1.110	2020-06-08	24	1
Alameda County	B.1.139	2021-01-04	1	1
Alameda County	B.1.166	2020-04-08	15	1
Alameda County	B.1.166	2020-04-30	18	2
Alameda County	B.1.166	2020-05-03	19	4
Alameda County	B.1.166	2020-05-06	19	2
Alameda County	B.1.166	2020-05-08	19	1
Alameda County	B.1.166	2020-05-09	19	1
Alameda County	B.1.166	2020-05-14	20	1
Alameda County	B.1.166	2020-05-16	20	1
Alameda County	B.1.166	2020-05-18	21	2
Alameda County	B.1.2	2020-07-07	28	1
Alameda County	B.1.2	2020-07-09	28	1
Alameda County	B.1.2	2020-08-17	34	1
Alameda County	B.1.2	2020-08-23	35	1
Alameda County	B.1.2	2020-08-25	35	1
Alameda County	B.1.2	2020-08-27	35	1
Alameda County	B.1.2	2020-08-28	35	1
Alameda County	B.1.2	2020-09-04	36	1
Alameda County	B.1.2	2020-09-09	37	1
Alameda County	B.1.2	2020-09-17	38	1
Alameda County	B.1.2	2020-11-04	45	1
Alameda County	B.1.2	2020-11-05	45	5
Alameda County	B.1.2	2020-12-29	53	1
Alameda County	B.1.2	2021-01-04	1	3
Alameda County	B.1.2	2021-01-05	1	3
Alameda County	B.1.206	2020-09-02	36	1
Alameda County	B.1.232	2020-12-29	53	1
Alameda County	B.1.232	2021-01-04	1	1
Alameda County	B.1.234	2020-10-01	40	1
Alameda County	B.1.239	2020-08-08	32	1
Alameda County	B.1.239	2020-08-09	33	1
Alameda County	B.1.239	2020-08-14	33	1
Alameda County	B.1.239	2020-09-09	37	1
Alameda County	B.1.239	2020-10-04	41	1
Alameda County	B.1.240	2020-07-07	28	1
Alameda County	B.1.241	2020-08-10	33	1
Alameda County	B.1.241	2020-08-24	35	2
Alameda County	B.1.241	2020-08-27	35	1
Alameda County	B.1.243	2020-06-16	25	1
Alameda County	B.1.243	2020-06-18	25	2
Alameda County	B.1.243	2020-06-29	27	1
Alameda County	B.1.243	2020-07-02	27	1
Alameda County	B.1.243	2020-07-08	28	2
Alameda County	B.1.243	2020-07-15	29	1
Alameda County	B.1.243	2020-07-17	29	1
Alameda County	B.1.243	2020-07-23	30	1
Alameda County	B.1.243	2020-07-24	30	1
Alameda County	B.1.243	2020-08-02	32	1
Alameda County	B.1.243	2020-08-05	32	1
Alameda County	B.1.243	2020-08-06	32	1
Alameda County	B.1.243	2020-08-08	32	2
Alameda County	B.1.243	2020-08-09	33	1
Alameda County	B.1.243	2020-08-10	33	2
Alameda County	B.1.243	2020-08-11	33	6
Alameda County	B.1.243	2020-08-12	33	2
Alameda County	B.1.243	2020-08-14	33	1
Alameda County	B.1.243	2020-08-17	34	2
Alameda County	B.1.243	2020-08-19	34	2
Alameda County	B.1.243	2020-08-20	34	1
Alameda County	B.1.243	2020-08-24	35	3
Alameda County	B.1.243	2020-08-25	35	1
Alameda County	B.1.243	2020-08-31	36	2
Alameda County	B.1.243	2020-09-02	36	2
Alameda County	B.1.243	2020-09-03	36	3
Alameda County	B.1.243	2020-09-08	37	1
Alameda County	B.1.243	2020-09-09	37	3
Alameda County	B.1.243	2020-09-10	37	3
Alameda County	B.1.243	2020-09-12	37	1
Alameda County	B.1.243	2020-09-15	38	21
Alameda County	B.1.243	2020-09-16	38	3
Alameda County	B.1.243	2020-09-18	38	1
Alameda County	B.1.243	2020-09-20	39	1
Alameda County	B.1.243	2020-09-21	39	1
Alameda County	B.1.243	2020-09-22	39	1
Alameda County	B.1.243	2020-09-24	39	1
Alameda County	B.1.243	2020-10-01	40	2
Alameda County	B.1.243	2020-10-02	40	1
Alameda County	B.1.243	2020-10-04	41	2
Alameda County	B.1.243	2020-11-05	45	1
Alameda County	B.1.243	2021-01-04	1	4
Alameda County	B.1.243	2021-01-05	1	2
Alameda County	B.1.311	2021-01-04	1	1
Alameda County	B.1.320	2020-05-04	19	1
Alameda County	B.1.320	2020-05-11	20	2
Alameda County	B.1.320	2020-05-14	20	1
Alameda County	B.1.320	2020-05-25	22	1
Alameda County	B.1.320	2020-06-01	23	2
Alameda County	B.1.320	2020-06-10	24	1
Alameda County	B.1.320	2020-06-12	24	1
Alameda County	B.1.320	2020-06-22	26	7
Alameda County	B.1.320	2020-06-24	26	1
Alameda County	B.1.320	2020-06-26	26	1
Alameda County	B.1.320	2020-06-28	27	3
Alameda County	B.1.320	2020-07-02	27	1
Alameda County	B.1.320	2020-07-08	28	5
Alameda County	B.1.320	2020-08-28	35	1
Alameda County	B.1.324	2021-01-04	1	1
Alameda County	B.1.336	2020-08-17	34	1
Alameda County	B.1.343	2020-06-28	27	2
Alameda County	B.1.348	2020-07-15	29	1
Alameda County	B.1.36	2020-10-04	41	1
Alameda County	B.1.361	2020-07-15	29	1
Alameda County	B.1.361	2020-08-17	34	1
Alameda County	B.1.361	2020-08-19	34	1
Alameda County	B.1.363	2020-07-08	28	1
Alameda County	B.1.369	2020-06-19	25	1
Alameda County	B.1.369	2020-06-22	26	1
Alameda County	B.1.369	2020-06-27	26	1
Alameda County	B.1.369	2020-07-07	28	1
Alameda County	B.1.369	2020-07-08	28	1
Alameda County	B.1.369	2020-07-09	28	1
Alameda County	B.1.369	2020-07-12	29	1
Alameda County	B.1.369	2020-07-17	29	1
Alameda County	B.1.369	2020-07-23	30	1
Alameda County	B.1.369	2020-08-17	34	1
Alameda County	B.1.369	2020-09-02	36	1
Alameda County	B.1.369	2020-09-09	37	2
Alameda County	B.1.369	2020-09-17	38	1
Alameda County	B.1.369	2020-09-19	38	1
Alameda County	B.1.369	2020-09-28	40	1
Alameda County	B.1.369	2020-09-30	40	1
Alameda County	B.1.390	2020-06-23	26	1
Alameda County	B.1.397	2020-08-16	34	1
Alameda County	B.1.397	2020-08-20	34	1
Alameda County	B.1.398	2020-08-27	35	1
Alameda County	B.1.402	2020-08-05	32	1
Alameda County	B.1.402	2020-08-06	32	1
Alameda County	B.1.402	2020-08-31	36	2
Alameda County	B.1.403	2020-08-13	33	1
Alameda County	B.1.403	2020-08-26	35	1
Alameda County	B.1.403	2020-08-27	35	2
Alameda County	B.1.403	2020-09-22	39	1
Alameda County	B.1.404	2020-09-24	39	1
Alameda County	B.1.404	2021-01-16	2	1
Alameda County	B.1.405	2021-01-04	1	1
Alameda County	B.1.427	2021-01-04	1	4
Alameda County	B.1.427	2021-01-05	1	4
Alameda County	B.1.429	2020-12-20	52	1
Alameda County	B.1.429	2020-12-29	53	1
Alameda County	B.1.429	2021-01-04	1	2
Alameda County	B.1.429	2021-01-12	2	1
Alameda County	B.1.452	2020-07-07	28	2
Alameda County	B.1.453	2020-04-14	16	1
Alameda County	B.1.453	2020-04-19	17	2
Alameda County	B.1.453	2020-04-30	18	2
Alameda County	B.1.453	2020-05-01	18	1
Alameda County	B.1.453	2020-05-02	18	4
Alameda County	B.1.453	2020-05-03	19	1
Alameda County	B.1.453	2020-05-07	19	2
Alameda County	B.1.453	2020-05-08	19	3
Alameda County	B.1.453	2020-05-11	20	1
Alameda County	B.1.453	2020-05-12	20	5
Alameda County	B.1.453	2020-05-13	20	3
Alameda County	B.1.453	2020-05-14	20	1
Alameda County	B.1.453	2020-05-15	20	2
Alameda County	B.1.453	2020-05-16	20	3
Alameda County	B.1.453	2020-05-17	21	3
Alameda County	B.1.453	2020-05-22	21	2
Alameda County	B.1.453	2020-05-23	21	4
Alameda County	B.1.453	2020-05-24	22	1
Alameda County	B.1.453	2020-05-25	22	1
Alameda County	B.1.453	2020-05-26	22	3
Alameda County	B.1.453	2020-05-27	22	5
Alameda County	B.1.453	2020-05-28	22	1
Alameda County	B.1.453	2020-05-29	22	2
Alameda County	B.1.453	2020-05-30	22	2
Alameda County	B.1.453	2020-06-03	23	1
Alameda County	B.1.453	2020-06-06	23	1
Alameda County	B.1.453	2020-06-08	24	1
Alameda County	B.1.453	2020-06-10	24	1
Alameda County	B.1.453	2020-06-15	25	1
Alameda County	B.1.453	2020-06-16	25	2
Alameda County	B.1.453	2020-06-19	25	2
Alameda County	B.1.453	2020-06-21	26	1
Alameda County	B.1.453	2020-06-22	26	2
Alameda County	B.1.453	2020-06-23	26	1
Alameda County	B.1.453	2020-06-24	26	2
Alameda County	B.1.453	2020-06-25	26	2
Alameda County	B.1.453	2020-06-26	26	4
Alameda County	B.1.453	2020-06-27	26	2
Alameda County	B.1.453	2020-06-29	27	1
Alameda County	B.1.453	2020-07-03	27	1
Alameda County	B.1.453	2020-07-10	28	1
Alameda County	B.1.453	2020-07-17	29	1
Alameda County	B.1.453	2020-08-14	33	1
Alameda County	B.1.453	2020-09-22	39	1
Alameda County	B.1.503	2020-04-16	16	1
Alameda County	B.1.503	2020-05-02	18	1
Alameda County	B.1.503	2020-05-08	19	1
Alameda County	B.1.503	2020-05-10	20	1
Alameda County	B.1.503	2020-05-11	20	3
Alameda County	B.1.503	2020-05-13	20	1
Alameda County	B.1.503	2020-05-15	20	2
Alameda County	B.1.503	2020-05-16	20	1
Alameda County	B.1.503	2020-05-19	21	1
Alameda County	B.1.503	2020-05-22	21	1
Alameda County	B.1.503	2020-05-24	22	1
Alameda County	B.1.503	2020-05-25	22	1
Alameda County	B.1.503	2020-05-28	22	1
Alameda County	B.1.503	2020-05-29	22	1
Alameda County	B.1.503	2020-05-31	23	1
Alameda County	B.1.503	2020-06-16	25	2
Alameda County	B.1.503	2020-06-18	25	1
Alameda County	B.1.503	2020-06-21	26	1
Alameda County	B.1.503	2020-06-24	26	1
Alameda County	B.1.508	2020-08-05	32	1
Alameda County	B.40	2020-03-19	12	1
Contra Costa County	A.1	2020-03-30	14	1
Contra Costa County	A.1	2020-04-03	14	1
Contra Costa County	B	2020-03-30	14	1
Contra Costa County	B	2020-04-02	14	1
Contra Costa County	B.1	2020-03-30	14	1
Contra Costa County	B.1	2020-03-31	14	2
Contra Costa County	B.1	2020-04-02	14	1
Contra Costa County	B.1	2020-04-03	14	1
Contra Costa County	B.1	2020-04-07	15	2
Contra Costa County	B.1	2020-05-13	20	2
Contra Costa County	B.1	2020-07-22	30	1
Contra Costa County	B.1	2020-07-23	30	1
Contra Costa County	B.1	2020-07-24	30	1
Contra Costa County	B.1	2020-08-03	32	1
Contra Costa County	B.1.1.158	2020-07-24	30	1
Contra Costa County	B.1.1.158	2020-07-30	31	1
Contra Costa County	B.1.1.244	2020-07-29	31	3
Contra Costa County	B.1.1.70	2020-03-30	14	1
Contra Costa County	B.1.1.70	2020-07-23	30	2
Contra Costa County	B.1.1.70	2020-07-24	30	3
Contra Costa County	B.1.1.70	2020-07-25	30	2
Contra Costa County	B.1.1.70	2020-07-26	31	1
Contra Costa County	B.1.1.70	2020-07-30	31	3
Contra Costa County	B.1.240	2020-07-29	31	1
Contra Costa County	B.1.240	2020-07-31	31	2
Contra Costa County	B.1.243	2020-07-22	30	1
Contra Costa County	B.1.243	2020-07-23	30	1
Contra Costa County	B.1.243	2020-07-24	30	1
Contra Costa County	B.1.243	2020-07-25	30	1
Contra Costa County	B.1.243	2020-07-26	31	1
Contra Costa County	B.1.243	2020-07-30	31	1
Contra Costa County	B.1.243	2020-07-31	31	1
Contra Costa County	B.1.243	2020-08-05	32	1
Contra Costa County	B.1.243	2020-08-20	34	1
Contra Costa County	B.1.243	2020-09-10	37	1
Contra Costa County	B.1.320	2020-03-30	14	1
Contra Costa County	B.1.320	2020-04-01	14	1
Contra Costa County	B.1.320	2020-04-02	14	18
Contra Costa County	B.1.320	2020-04-03	14	6
Contra Costa County	B.1.320	2020-04-07	15	2
Contra Costa County	B.1.336	2020-07-26	31	3
Contra Costa County	B.1.336	2020-07-27	31	1
Contra Costa County	B.1.336	2020-07-29	31	1
Contra Costa County	B.1.36	2020-07-25	30	1
Contra Costa County	B.1.369	2020-07-28	31	1
Contra Costa County	B.1.369	2020-07-31	31	2
Contra Costa County	B.1.399	2020-07-25	30	1
Contra Costa County	B.1.400	2020-08-05	32	1
Fresno County	B.1	2020-09-23	39	1
Fresno County	B.1.402	2020-09-03	36	1
Fresno County	B.1.402	2020-09-09	37	1
Humboldt County	A.1	2020-03-27	13	2
Humboldt County	A.1	2020-05-27	22	1
Humboldt County	A.3	2020-03-31	14	1
Humboldt County	A.3	2020-04-01	14	2
Humboldt County	A.3	2020-04-13	16	1
Humboldt County	B	2020-04-06	15	1
Humboldt County	B.1	2020-03-24	13	1
Humboldt County	B.1	2020-03-27	13	1
Humboldt County	B.1	2020-03-28	13	1
Humboldt County	B.1	2020-03-30	14	2
Humboldt County	B.1	2020-03-31	14	1
Humboldt County	B.1	2020-04-01	14	1
Humboldt County	B.1	2020-04-14	16	1
Humboldt County	B.1	2020-05-15	20	3
Humboldt County	B.1	2020-05-18	21	2
Humboldt County	B.1	2020-05-26	22	1
Humboldt County	B.1	2020-07-15	29	1
Humboldt County	B.1	2020-07-16	29	1
Humboldt County	B.1	2020-07-20	30	1
Humboldt County	B.1	2020-07-24	30	1
Humboldt County	B.1	2020-08-27	35	1
Humboldt County	B.1	2020-10-01	40	1
Humboldt County	B.1	2020-10-05	41	1
Humboldt County	B.1	2020-10-06	41	1
Humboldt County	B.1	2020-10-09	41	1
Humboldt County	B.1	2020-10-12	42	3
Humboldt County	B.1	2020-10-16	42	1
Humboldt County	B.1	2020-10-19	43	1
Humboldt County	B.1	2020-10-20	43	1
Humboldt County	B.1	2020-11-16	47	1
Humboldt County	B.1	2020-12-15	51	1
Humboldt County	B.1	2020-12-16	51	1
Humboldt County	B.1	2020-12-18	51	9
Humboldt County	B.1	2020-12-21	52	1
Humboldt County	B.1	2020-12-22	52	3
Humboldt County	B.1	2020-12-24	52	1
Humboldt County	B.1	2020-12-30	53	1
Humboldt County	B.1.1.1	2020-12-08	50	1
Humboldt County	B.1.1.10	2020-03-23	13	1
Humboldt County	B.1.1.10	2020-03-24	13	5
Humboldt County	B.1.1.128	2020-08-21	34	1
Humboldt County	B.1.1.172	2020-05-28	22	1
Humboldt County	B.1.1.207	2020-06-22	26	10
Humboldt County	B.1.1.207	2020-06-24	26	1
Humboldt County	B.1.1.207	2020-06-25	26	1
Humboldt County	B.1.1.207	2020-06-26	26	1
Humboldt County	B.1.1.207	2020-07-06	28	1
Humboldt County	B.1.1.207	2020-07-08	28	2
Humboldt County	B.1.1.222	2020-08-03	32	3
Humboldt County	B.1.1.222	2020-08-04	32	1
Humboldt County	B.1.1.222	2020-08-11	33	4
Humboldt County	B.1.1.222	2020-08-12	33	1
Humboldt County	B.1.1.222	2020-08-13	33	2
Humboldt County	B.1.1.222	2020-09-22	39	2
Humboldt County	B.1.1.222	2020-11-30	49	1
Humboldt County	B.1.1.222	2020-12-04	49	1
Humboldt County	B.1.1.244	2020-12-07	50	1
Humboldt County	B.1.1.244	2020-12-19	51	2
Humboldt County	B.1.1.244	2020-12-22	52	2
Humboldt County	B.1.1.244	2020-12-29	53	1
Humboldt County	B.1.1.274	2020-12-30	53	1
Humboldt County	B.1.1.285	2020-12-04	49	1
Humboldt County	B.1.1.304	2020-07-15	29	1
Humboldt County	B.1.1.34	2020-03-19	12	1
Humboldt County	B.1.1.44	2020-10-30	44	1
Humboldt County	B.1.1.44	2020-11-05	45	6
Humboldt County	B.1.1.70	2020-07-23	30	1
Humboldt County	B.1.1.70	2020-07-27	31	1
Humboldt County	B.1.1.70	2020-07-29	31	1
Humboldt County	B.1.1.70	2020-12-04	49	1
Humboldt County	B.1.110.3	2020-06-30	27	2
Humboldt County	B.1.110.3	2020-07-02	27	2
Humboldt County	B.1.110.3	2020-07-06	28	2
Humboldt County	B.1.110.3	2020-07-07	28	1
Humboldt County	B.1.110.3	2020-07-17	29	1
Humboldt County	B.1.110.3	2020-12-01	49	2
Humboldt County	B.1.110.3	2020-12-04	49	1
Humboldt County	B.1.110.3	2020-12-30	53	1
Humboldt County	B.1.119	2020-12-13	51	1
Humboldt County	B.1.139	2020-08-31	36	1
Humboldt County	B.1.139	2020-09-04	36	1
Humboldt County	B.1.139	2020-11-19	47	1
Humboldt County	B.1.189	2020-08-19	34	1
Humboldt County	B.1.2	2020-07-02	27	1
Humboldt County	B.1.2	2020-07-06	28	5
Humboldt County	B.1.2	2020-07-13	29	1
Humboldt County	B.1.2	2020-07-17	29	1
Humboldt County	B.1.2	2020-07-20	30	2
Humboldt County	B.1.2	2020-09-28	40	1
Humboldt County	B.1.2	2020-10-16	42	1
Humboldt County	B.1.2	2020-10-29	44	1
Humboldt County	B.1.2	2020-11-02	45	2
Humboldt County	B.1.2	2020-11-04	45	1
Humboldt County	B.1.2	2020-11-06	45	1
Humboldt County	B.1.2	2020-11-09	46	4
Humboldt County	B.1.2	2020-11-10	46	4
Humboldt County	B.1.2	2020-11-11	46	1
Humboldt County	B.1.2	2020-11-12	46	1
Humboldt County	B.1.2	2020-11-13	46	1
Humboldt County	B.1.2	2020-11-16	47	2
Humboldt County	B.1.2	2020-11-17	47	2
Humboldt County	B.1.2	2020-11-18	47	2
Humboldt County	B.1.2	2020-11-19	47	1
Humboldt County	B.1.2	2020-11-20	47	2
Humboldt County	B.1.2	2020-11-21	47	1
Humboldt County	B.1.2	2020-11-22	48	1
Humboldt County	B.1.2	2020-11-23	48	3
Humboldt County	B.1.2	2020-11-24	48	1
Humboldt County	B.1.2	2020-11-25	48	2
Humboldt County	B.1.2	2020-11-28	48	1
Humboldt County	B.1.2	2020-11-30	49	1
Humboldt County	B.1.2	2020-12-02	49	1
Humboldt County	B.1.2	2020-12-04	49	1
Humboldt County	B.1.2	2020-12-07	50	1
Humboldt County	B.1.2	2020-12-08	50	1
Humboldt County	B.1.2	2020-12-10	50	1
Humboldt County	B.1.2	2020-12-11	50	1
Humboldt County	B.1.2	2020-12-13	51	1
Humboldt County	B.1.2	2020-12-14	51	4
Humboldt County	B.1.2	2020-12-15	51	3
Humboldt County	B.1.2	2020-12-17	51	2
Humboldt County	B.1.2	2020-12-18	51	4
Humboldt County	B.1.2	2020-12-20	52	1
Humboldt County	B.1.2	2020-12-21	52	4
Humboldt County	B.1.2	2020-12-22	52	4
Humboldt County	B.1.2	2020-12-23	52	4
Humboldt County	B.1.2	2020-12-24	52	1
Humboldt County	B.1.2	2020-12-26	52	3
Humboldt County	B.1.2	2020-12-27	53	2
Humboldt County	B.1.2	2020-12-28	53	16
Humboldt County	B.1.2	2020-12-29	53	10
Humboldt County	B.1.2	2020-12-30	53	7
Humboldt County	B.1.2	2020-12-31	53	7
Humboldt County	B.1.2	2021-01-03	1	1
Humboldt County	B.1.2	2021-01-04	1	3
Humboldt County	B.1.232	2020-11-07	45	1
Humboldt County	B.1.232	2020-11-11	46	1
Humboldt County	B.1.232	2020-12-18	51	1
Humboldt County	B.1.234	2020-11-03	45	1
Humboldt County	B.1.234	2020-11-16	47	1
Humboldt County	B.1.234	2020-12-04	49	1
Humboldt County	B.1.234	2020-12-26	52	1
Humboldt County	B.1.234	2020-12-28	53	3
Humboldt County	B.1.239	2020-11-03	45	1
Humboldt County	B.1.239	2020-11-30	49	1
Humboldt County	B.1.240	2020-07-13	29	6
Humboldt County	B.1.240	2020-08-27	35	1
